Organization Name,Organization Name URL,Categories,Headquarters Location,Description,CB Rank (Company),Website,LinkedIn,Contact Email,Phone Number,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Total Funding Amount
Cue,https://www.crunchbase.com/organization/cue,"Internet, Mobile Apps","San Francisco, California, United States",Cue is a web and mobile app that pulls information from the users‰Ûª online accounts to present an overview of their day.,"12,250",http://www.cueup.com,,support@cueup.com,,Robby Walker,Nov-50,3,M&A,3/14/11,"$4,000,000 ",Series A,"$4,715,000 "
500Friends,https://www.crunchbase.com/organization/500friends,"E-Commerce, Enterprise Software, Loyalty Programs, SaaS","San Francisco, California, United States",500friend provides loyalty marketing solutions for internet retailers and brands.,"12,329",http://www.500Friends.com,http://www.linkedin.com/company/1104820,sales@500friends.com,,"Bob Tekiela, Hong Hu, Justin Yoshimura",Nov-50,6,M&A,3/12/13,"$5,000,000 ",Series B,"$12,900,000 "
Watsi,https://www.crunchbase.com/organization/watsi,"Crowdfunding, FinTech, Medical, Medical Device","San Francisco, California, United States",Watsi is building technology to finance healthcare for everyone,"12,333",http://watsi.org,https://www.linkedin.com/company/watsi,connect@watsi.org,(256) 792-8747,"Chase Adam, Grace Garey, Jesse Cooke",Nov-50,2,Early Stage Venture,11/4/15,"$3,500,000 ",Series A,"$4,700,000 "
Homebase,https://www.crunchbase.com/organization/homebase,"Human Resources, Local, Small and Medium Businesses","San Francisco, California, United States",Homebase is the easiest way to track hours and schedule.,"12,375",http://www.joinhomebase.com,https://www.linkedin.com/company/homebase-hr,help@joinhomebase.com,(415) 951-3830,John Waldmann,Nov-50,3,Early Stage Venture,6/7/18,"$20,000,000 ",Series B,"$28,000,000 "
StarMaker Interactive,https://www.crunchbase.com/organization/starmaker-interactive,"E-Commerce, Mobile, Publishing, Video","San Francisco, California, United States","StarMaker is an online video network for music whose apps enable video creation/publishing, shared monetization & talent discovery","12,394",http://starmakerstudios.com,http://www.linkedin.com/in/jeffreyhdaniel,bizdev@starmakerinteractive.com,,"Jeff Daniel, Nathan Sedlander",Nov-50,4,M&A,2/10/15,"$6,370,563 ",Series B,"$11,695,563 "
Rallyteam,https://www.crunchbase.com/organization/rallyteam,"Crowdsourcing, Enterprise Software, Human Resources, Social Media","San Francisco, California, United States",Rallyteam is a platform that enables the user to better understand and utilize their most valuable asset - their people.,"12,498",http://www.rallyteam.com,http://www.linkedin.com/company/rallyteam,info@rallyteam.com,,"Dan Ellis, David Somers, Huan Ho, Reyhan Jhaver",Nov-50,5,M&A,11/2/17,"$8,600,000 ",Series A,"$8,620,000 "
Bandpage,https://www.crunchbase.com/organization/bandpage,"Consumer, Facebook, Marketplace, Music","San Francisco, California, United States",BandPage is the distributed marketplace that musicians use to engage and sell to fans across the largest music services in the world,"12,518",http://www.bandpage.com,http://www.linkedin.com/company/bandpage,info@bandpage.com,415-800-8614,James Sider,Nov-50,4,M&A,3/30/14,"$9,300,000 ",Series C,"$27,600,000 "
Stamplay,https://www.crunchbase.com/organization/stamplay,"Cloud Computing, Data Integration, Developer Tools, SaaS, Sales Automation","San Francisco, California, United States",Build high value business process spanning multiple cloud services with no code.,"12,534",https://stamplay.com,http://www.linkedin.com/company/2703408,giuliano.iacobelli@stamplay.com,14154818606,"Giuliano Iacobelli, Nicola Mattina",10-Jan,5,Early Stage Venture,9/11/16,"å£246,813",Series A,"$777,648 "
Fandor,https://www.crunchbase.com/organization/fandor,"Film, Media and Entertainment, Social Media, Subscription Service, Video, Video on Demand","San Francisco, California, United States",Fandor is a social movie and entertainment company that produces original content designed for sharing.,"12,566",https://www.fandor.com,https://www.linkedin.com/company/fandor,info@fandor.com,(415)368-0330,"Albert Reinhardt, Dan Aronson, Jonathan Marlow",Nov-50,1,Early Stage Venture,11/4/15,"$7,000,000 ",Series B,"$7,000,000 "
Crowdpac,https://www.crunchbase.com/organization/crowdpac,"Big Data, Crowdfunding, Politics","San Francisco, California, United States",Non-partisan political crowdfunding startup using technology and data to help citizens engage in politics.,"12,579",http://www.crowdpac.com,https://www.linkedin.com/company/crowdpac,info@crowdpac.com,329539601,"Adam Bonica, Gisel Kordestani, Paul Hilder, Steve Hilton",Nov-50,2,Early Stage Venture,1/1/16,"$6,000,000 ",Series A,"$8,525,000 "
Completed.com,https://www.crunchbase.com/organization/completed-com,"Professional Networking, Professional Services, Social Media","San Francisco, California, United States",Completed reviews anyone in business and ensures great people get recognition and everyone get trusted feedback.,"12,591",http://completed.com,https://www.linkedin.com/company-beta/11062923,support@completed.com,,Michael Zammuto,10-Jan,3,Early Stage Venture,5/1/17,,Series A,"$300,000 "
Weddington Way,https://www.crunchbase.com/organization/weddington-way,"Consumer Goods, E-Commerce, Events, Fashion, Internet, Retail, Wedding","San Francisco, California, United States",Weddington Way offers a community-based shopping platform for an exclusive collection of fresh + modern bridesmaid dresses.,"12,598",http://www.WeddingtonWay.com,https://www.linkedin.com/company/weddington-way,support@weddingtonway.com,415-935-4085,Ilana Stern,Nov-50,3,M&A,8/11/14,"$9,000,000 ",Series A,"$11,500,000 "
Byliner,https://www.crunchbase.com/organization/byliner,"Content, Publishing","San Francisco, California, United States",Byliner publishes original fiction and non-fiction e-shorts that can be read in two hours or less.,"12,616",http://www.byliner.com,,hello@byliner.com,415-357-9750,John Tayman,Nov-50,2,M&A,7/1/12,,Series A,"$1,000,000 "
"Dubset Media Holdings, Inc.",https://www.crunchbase.com/organization/dubset-media,"Digital Media, Music, Software","San Francisco, California, United States","Solving complexities behind rights-holder identification, licensing and distribution associated with derivative content across all media","12,641",http://www.dubset.com,https://www.linkedin.com/company/dubset-media,info@dubsetmedia.com,(415)854-3354,David Stein,Nov-50,4,Early Stage Venture,2/27/17,"$4,000,000 ",Series A,"$11,250,000 "
AltX,https://www.crunchbase.com/organization/imatchative,"Analytics, Big Data, Information Technology","San Francisco, California, United States","AltX develops and delivers a data, intelligence, and collaboration platform.","12,934",http://www.getaltx.com/,https://www.linkedin.com/company-beta/3711894/,Info@imatchative.com,(653) 612-6538,Sam Hocking,Nov-50,1,M&A,10/27/14,"$20,000,000 ",Series B,"$20,000,000 "
TalentBin,https://www.crunchbase.com/organization/talentbin,"Internet, Recruiting","San Francisco, California, United States",TalentBin operates a talent search engine that allows technical recruiters and hiring managers to find passive candidates.,"13,172",http://talentbin.com,https://www.linkedin.com/company/2504880,contact@talentbin.com,415-361-5944,"Jason Heidema, Peter Kazanjy",Nov-50,2,M&A,7/16/13,"$2,000,000 ",Series A,"$3,200,000 "
Standard Treasury,https://www.crunchbase.com/organization/standard-treasury,"Banking, Enterprise Software, Financial Services, Payments, Software","San Francisco, California, United States",Standard Treasury offers standard APIs that facilitate businesses in transfers and other transactions with banks.,"13,272",http://standardtreasury.com,https://www.linkedin.com/company/standard-treasury,,,"Brent Goldman, Daniel Kimerling, Zac Townsend",10-Jan,3,M&A,5/28/14,"$2,700,000 ",Series A,"$2,700,000 "
Bread,https://www.crunchbase.com/organization/bread-labs,"Advertising, Mobile Devices, Social Media","San Francisco, California, United States","Bread helps social media publishers and brands monetize their online content by advertising across social media, desktop and mobile devices.","13,342",http://www.bre.ad,,hello@bre.ad,646-543-1422,"Alan Chan, Derrick Or, Terry (Qing) Li",Nov-50,2,M&A,1/30/12,"$3,400,000 ",Series A,"$4,400,000 "
Swyft,https://www.crunchbase.com/organization/swyft-2,"Consumer Electronics, Mobile, Retail","San Francisco, California, United States","Swyft sells great products from leading brands in strategic high profile locations, serving customers.","13,348",http://swyftstore.com/,https://www.linkedin.com/company/3823577?trk=prof-exp-company-name,hello@swyftstore.com,1.18E+11,"Brian Levin, Gower Smith, Jordan Smith, Lincoln Smith",10-Jan,2,Early Stage Venture,5/9/16,"$3,500,000 ",Series A,"$5,500,000 "
CellScope,https://www.crunchbase.com/organization/cell-scope,"Hardware, Health Care, Information Technology, mHealth, Software, Telecommunications","San Francisco, California, United States","CellScope is building a smartphone-enabled diagnostic toolkit to help patients get better answers, faster.","13,391",http://cellscope.com,https://www.linkedin.com/company/2010934?trk=tyah&trkInfo=clickedVertical%3Acompany%2Cidx%3A2-1-4%2CtarId%3A1430284312147%2Ctas%3ACellScope,info@cellscope.com,18889306491,"Amy Sheng, Daniel Fletcher, Erik Douglas, Wilbur Lam",Nov-50,3,Early Stage Venture,11/1/13,"$3,500,000 ",Series A,"$5,620,000 "
Wrap Media,https://www.crunchbase.com/organization/wrap-media,"Consumer, Content, Mobile","San Francisco, California, United States",Wrap is a mobile storytelling and commerce platform that delivers app-like user experiences in bite-sized pieces through the mobile web,"13,559",,,null@null.com,(415)741-5176,"Eric Greenberg, John Garris",Nov-50,3,Late Stage Venture,4/19/16,"$9,000,000 ",Series C,"$25,200,000 "
Xcell Biosciences,https://www.crunchbase.com/organization/xcell-biosciences,"Biotechnology, Health Diagnostics","San Francisco, California, United States",Building products that enable propagation and gene editing in challenging cell types for clinical research and cell therapy applications,"13,632",http://www.xcellbio.com,https://www.linkedin.com/company/xcell-biosciences,innovate@xcellbio.com,415-937-0321,"Brian Feth, Ilya Kupershmidt, James Lim",Nov-50,2,Early Stage Venture,2/16/17,"$12,000,000 ",Series A,"$12,100,000 "
AppGyver,https://www.crunchbase.com/organization/appgyver,"Android, Apps, Cloud Computing, Developer Tools, Internet, iOS, Mobile, Web Development","San Francisco, California, United States",AppGyver is a rapid mobile app development platform.,"13,649",http://www.appgyver.com,http://www.linkedin.com/company/appgyver-inc,contact@appgyver.com,(415) 299 0603,"Henri Vahakainu, Marko Lehtimaki",Nov-50,3,Early Stage Venture,10/13/17,"‰âÂ4,500,000",Series A,"$8,819,243 "
kWh Analytics,https://www.crunchbase.com/organization/kwh-analytics,"Energy, Renewable Energy, Solar","San Francisco, California, United States",kWh Analytics provides solar asset data and portfolio analytics for the solar industry.,"13,667",http://kwhanalytics.com,https://www.linkedin.com/company/3285388,contact@kwhanalytics.com,1(415) 891-9601,Richard Matsui,Nov-50,3,Early Stage Venture,9/7/16,"$5,000,000 ",Series A,"$5,000,000 "
Acompli,https://www.crunchbase.com/organization/acompli-inc,"Android, Email, Enterprise Software, Internet, iOS, Mobile, SaaS, Security","San Francisco, California, United States",Mobile Email App for Professionals,"13,695",https://www.acompli.com,http://www.linkedin.com/company/acompli,info@acompli.com,,"Javier Soltero, JJ Zhuang, Kevin Henrikson",Nov-50,1,M&A,6/4/13,"$7,300,000 ",Series A,"$7,300,000 "
OneID,https://www.crunchbase.com/organization/oneid,"Developer APIs, Identity Management, Internet of Things, Software","San Francisco, California, United States","OneID is an identity and security platform for the IoT and web connected world, including devices, servers, applications, and humans.","13,865",http://www.oneid.com,http://www.linkedin.com/company/oneid,info@oneid.com,(415) 590-3712,Steve Kirsch,Nov-50,1,Early Stage Venture,4/11/12,"$7,000,000 ",Series A,"$7,000,000 "
Uvify,https://www.crunchbase.com/organization/uvify,"3D Technology, Aerospace, Drones, Robotics","San Francisco, California, United States",UVify is a team with strong background in engineering and design for building autonomous drone for everyone.,"13,918",http://www.uvify.com/,https://www.linkedin.com/company/10836673,lim@uvify.com,,"Chulwoo Park, Hyon Lim",Nov-50,2,Early Stage Venture,2/7/16,"$4,000,000 ",Series A,"$4,250,000 "
Prismatic,https://www.crunchbase.com/organization/prismatic,"Media and Entertainment, Social, Social Media","San Francisco, California, United States","Prismatic is a news reading company, which was founded in 2010.","13,932",http://getprismatic.com,,,,,Nov-50,1,Early Stage Venture,12/5/12,"$15,000,000 ",Series A,"$15,000,000 "
Simplr,https://www.crunchbase.com/organization/simplr-0738,Customer Service,"San Francisco, California, United States",Providing best-in-class customer support for high growth companies,"13,988",https://www.simplr.ai/,https://www.linkedin.com/company/gosimplr/,hello@simplr.ai,,"Amit Sood, Eng Tan, Vincent Phamvan",Nov-50,1,Early Stage Venture,4/19/18,"$8,000,000 ",Series A,"$8,000,000 "
Akoonu,https://www.crunchbase.com/organization/akoonu,"Computer, Marketing, Software","San Francisco, California, United States",Akoonu offers B2B marketing organizations the first SaaS platform for developing and deploying elements of strategic marketing.,"13,989",http://www.akoonu.com/,https://www.linkedin.com/company/akoonu-inc-,hi@ akoonu.com,,"Darlene Mann, Deepesh Chourey, Jeff Freund",Nov-50,1,Early Stage Venture,4/13/17,"$8,000,000 ",Series A,"$8,000,000 "
Convo,https://www.crunchbase.com/organization/convo,"Apps, Collaboration, Enterprise Software, Events, SaaS, Social Media, Web Development","San Francisco, California, United States",Convo is a cloud-based interactive business workspace enabling real-time conversations online.,"13,992",http://www.convo.com,http://www.linkedin.com/company/convoapp,sales@convo.com,,"Faizan Buzdar, Sabika Nazim",Nov-50,3,Early Stage Venture,9/16/13,"$5,000,000 ",Series A,"$6,309,000 "
Heyzap,https://www.crunchbase.com/organization/heyzap,"Ad Network, Advertising, Machine Learning, Mobile, Mobile Advertising","San Francisco, California, United States",Heyzap is a premier mobile ad network that helps millions of users discover apps they love.,"14,086",http://www.heyzap.com,http://www.linkedin.com/company/heyzap.com,support@heyzap.com,,"Immad Akhund, Jude Gomila",Nov-50,5,M&A,12/1/12,"$4,300,000 ",Series B,"$7,995,000 "
